placeId,name,category,address,point,providerPlaceId
164,시민회관 소극장 단체분장실,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0654200 35.1393550),
165,동구도서관 1층,ETC,"부산광역시 동구 성북로36번길 54, 동구도서관 1층 (범일동)",POINT(129.0525000 35.1380500),
166,시민회관 대극장 개인분장실1,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656200 35.1388510),
167,한국토지주택공사 2층,ETC,"부산광역시 동구 중앙대로 224, 한국토지주택공사 부산울산지역본부 2층 (초량동)",POINT(129.0412000 35.1169700),
168,동구청 분수대,ETC,"부산광역시 동구 구청로 1, 동구청 (수정동)",POINT(129.0456000 35.1293600),
169,행복동구생활지원센터 1층,ETC,"부산광역시 동구 안창로 90, 루미네수녀 기념관 옆 (범일동)",POINT(129.0397000 35.1444100),
170,구봉산 도등,ETC,부산광역 시 동구 구청로 1(수정동) 구봉산 도등,POINT(129.0279000 35.1269100),
171,수정초등학교,ETC,"부산광역시 동구 진성로 29, 수정초등학교 (수정동)",POINT(129.0464000 35.1314600),
172,시민회관 관리동 4층 여자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656100 35.1389960),
173,도시철도 초량역,ETC,"부산광역시 동구 중앙대로 지하 264, 도시철도 초량역 (초량동)",POINT(129.0430390 35.1211680),
174,도시철도 좌천역,ETC,"부산광역시 동구 중앙대로 지하 446, 도시철도 좌천역 (좌천동)",POINT(129.0544550 35.1343610),
175,도시철도 부산역,ETC,"부산광역시 동구 중앙대로 지하 200, 도시철도 부산역 (초량동)",POINT(129.0397000 35.1152240),
176,시민회관 관리동 1층 남자,ETC,"부산광역시 동구 자성로133번길 16, 시민회관 (범일동)",POINT(129.0656100 35.1389960),
177,범일5동 행정복지센터 1층,ETC,"부산광역시 동구 성남로47번길 13, 범일5동 행정복지센터 (좌천동)",POINT(129.0538000 35.1305400),
178,자성대파출소 1층,ETC,"부산광역시 동구 자성공원로 15, 자성지구대 (범일동)",POINT(129.0613000 35.1374000),
179,동구국민체육문예센터 1층,ETC,"부산광역시 동구 구청로 8, 동구국민체육문예센터 1층 (수정동)",POINT(129.0448000 35.1288000),
180,동구노인종합복지관 1층,ETC,부산광역시 동구 홍곡중로5번길 24 (수정동) 동구노인종합복지관 1층,POINT(129.0404000 35.1258500),
181,플랫폼 A동,ETC,"부산광역시 동구 중앙대로 210, 유라시아 플랫폼 (초량동)",POINT(129.0408760 35.1156067),
182,부산역 지하도상가,ETC,"부산광역시 동구 중앙대로 지하200, 부산역지하도상가 (초량동)",POINT(129.0406500 35.1168550),
183,공영주차장 수성초등,ETC,"부산광역시 동구 망양로 807, 공영주차장 수성초등 (수정동)",POINT(129.0430100 35.1342560),
